year,region,city,business_activity,business_examples,smes_count,avg_capital,avg_rent_monthly_est,rent_source,operating_costs_monthly,competition_level,required_permits
2024,منطقة عسير,ابـها,ابحاث الاعلان والسوق,شركة أبحاث سوق | قياس رضا العملاء | دراسات سلوك المستهلك,124,132500,29398,actual,291058,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,اصلاح اجهزة الحاسوب والسلع الشخصية والمنزلية,صيانة لابتوبات | تصليح جوالات | إصلاح أجهزة منزلية,256,150500,57232,actual,221473,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,اصلاح وتركيب الالات والمعدات,صيانة مولدات كهربائية | تركيب معدات مصانع | إصلاح مضخات ومعدات تشغيل,143,138500,57232,actual,432430,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الاتصالات,مزود خدمة اتصالات | مركز اتصالات وتقنية | خدمات شبكات اتصال,22,161000,57232,actual,132580,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الاقامة,فندق صغير | شقق مفروشة | نزل سياحي,446,146500,57232,actual,1274700,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | تصريح سلامة غذاء (هيئة الغذاء والدواء SFDA) | شهادة صحية للعاملين
2024,منطقة عسير,ابـها,الانشطة الابداعية والفنون وانشطة الترفيه,استوديو تصميم فني | مركز رسم وفنون | تنظيم عروض ترفيهية,10,103500,57232,actual,143164,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الانشطة الاخرى للتعدين واستغلال المحاجر,محجر رمل | كسارة حجر | استخراج مواد بناء,34,125500,57232,actual,243357,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الانشطة الادارية للمكاتب ، وانشطة الدعم للمكاتب وغير ذلك من انشطة الدعم للاعمال,مركز طباعة وتصوير | خدمة إدخال بيانات | مركز اتصال وخدمات مكتبية,200,129500,29398,actual,233087,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الانشطة الايجارية,تأجير سيارات | تأجير معدات بناء | تأجير أثاث للمناسبات,295,135000,57232,actual,231761,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الانشطة البيطرية,عيادة بيطرية | صيدلية بيطرية | مركز تطعيم وعلاج حيوانات,15,111500,57232,actual,19364,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الانشطة الرياضية وانشطة التسلية والترفيه,نادي رياضي | مركز ألعاب إلكترونية | ملعب كرة قدم تجاري,158,140500,57232,actual,155708,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الانشطة العقارية,مكتب عقار | إدارة أملاك | تسويق وتأجير عقارات,284,214500,57232,actual,485648,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الانشطة القانونية وانشطة المحاسبة,مكتب محاماة | مكتب محاسبة قانونية | خدمات مراجعة حسابات,82,128000,29398,actual,183754,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الانشطة المهنية والعلمية والتقنية الاخرى,استشارات بيئية | خدمات فحص وتقييم | بحوث تقنية متخصصة,31,164500,29398,actual,159778,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,البحث والتطوير في المجال العلمي,مركز أبحاث علمية | تطوير منتجات جديدة | مختبر ابتكار,5,116500,29398,actual,16907,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,التخزين وانشطة الدعم للنقل,مستودعات تخزين | خدمات تخليص شحنات | مركز لوجستي,188,185000,57232,actual,756660,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | ترخيص نقل/تشغيل
2024,منطقة عسير,ابـها,التعليم,مركز دروس خصوصية | معهد تدريب لغات | مركز تدريب حاسب,102,162000,57232,actual,454315,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | ترخيص نشاط تعليمي/تدريبي من الجهة المختصة
2024,منطقة عسير,ابـها,الحراجة وقطع الاخشاب,قطع أخشاب | توريد أخشاب خام | إدارة غابات تجارية,6,105000,57232,actual,206696,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الصحة البشرية,عيادة أسنان | مجمع طبي | مركز علاج طبيعي,173,212000,57232,actual,841068,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | ترخيص مهني من الجهة الصحية
2024,منطقة عسير,ابـها,الصرف الصحي,خدمات شبكات صرف صحي | محطة معالجة صرف | صيانة أنظمة صرف,35,124000,57232,actual,28124,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,الصناعة التحويلية الاخرى,مصنع منتجات متنوعة | مشغل تصنيع بسيط | خطوط إنتاج صغيرة متعددة,46,186500,57232,actual,223718,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | ترخيص صناعي/ورشة
2024,منطقة عسير,ابـها,الطباعة واستنساخ وسائط الاعلام المسجّلة,مطبعة تجارية | طباعة بروشورات | طباعة ملصقات وستيكرات,19,115500,57232,actual,322389,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | ترخيص مهني من الجهة الصحية
2024,منطقة عسير,ابـها,النقل البري و النقل عبر الانابيب,شركة نقل بضائع | نقل مياه بالصهاريج | خدمة شحن بري,1089,226500,57232,actual,601840,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | ترخيص نقل/تشغيل
2024,منطقة عسير,ابـها,النقل الجوي,شحن جوي | خدمات طيران خاص | نقل بضائع جوًا,3,165500,57232,actual,16873,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | ترخيص نقل/تشغيل
2024,منطقة عسير,ابـها,النقل المائي,شحن بحري | نقل ركاب بحري | خدمات قوارب تجارية,11,169000,57232,actual,445707,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | ترخيص نقل/تشغيل
